date,mention,score,Color
2022-05-14 00:00:00-05:00,2327,-0.405325,red
2022-05-15 00:00:00-05:00,2919,-0.3378375,red
2022-05-16 00:00:00-05:00,5721,-0.37410000000000004,red
2022-05-17 00:00:00-05:00,5589,-0.31627083333333333,red
2022-05-18 00:00:00-05:00,5793,-0.40730833333333333,red
2022-05-19 00:00:00-05:00,7351,-0.5417833333333334,red
2022-05-20 00:00:00-05:00,6533,-0.38285416666666666,red
2022-05-21 00:00:00-05:00,2796,-0.2039,red
2022-05-22 00:00:00-05:00,3016,-0.21749166666666667,red
2022-05-23 00:00:00-05:00,5665,-0.3078208333333334,red
2022-05-24 00:00:00-05:00,5447,-0.20647916666666666,red
2022-05-25 00:00:00-05:00,5841,-0.3238958333333333,red
2022-05-26 00:00:00-05:00,5665,-0.3146375,red
2022-05-27 00:00:00-05:00,4512,-0.21429166666666666,red
2022-05-28 00:00:00-05:00,2275,-0.11255416666666666,red
2022-05-29 00:00:00-05:00,2919,-0.16994166666666666,red
2022-05-30 00:00:00-05:00,2733,-0.2614375,red
2022-05-31 00:00:00-05:00,4304,-0.19150416666666667,red
2022-06-01 00:00:00-05:00,4010,-0.20369047619047617,red
2022-06-02 00:00:00-05:00,1583,-0.0971625,red
2022-06-03 00:00:00-05:00,6646,-0.29386666666666666,red
2022-06-04 00:00:00-05:00,3196,-0.2654458333333333,red
2022-06-05 00:00:00-05:00,3555,-0.28578333333333333,red
2022-06-06 00:00:00-05:00,19260,-0.48289166666666666,red
2022-06-07 00:00:00-05:00,14318,-0.39537500000000003,red
2022-06-08 00:00:00-05:00,6129,-0.2964833333333333,red
2022-06-09 00:00:00-05:00,6382,-0.35213333333333335,red
2022-06-10 00:00:00-05:00,6621,-0.2662,red
2022-06-11 00:00:00-05:00,2938,-0.14377500000000001,red
2022-06-12 00:00:00-05:00,3061,-0.38378333333333337,red
2022-06-13 00:00:00-05:00,7127,-0.4374416666666667,red
2022-06-14 00:00:00-05:00,6039,-0.37210000000000004,red
2022-06-15 00:00:00-05:00,6268,-0.34050416666666666,red
2022-06-16 00:00:00-05:00,6505,-0.41250000000000003,red
2022-06-17 00:00:00-05:00,6088,-0.405325,red
2022-06-18 00:00:00-05:00,3166,-0.39555,red
2022-06-19 00:00:00-05:00,2700,-0.2319625,red
2022-06-20 00:00:00-05:00,3782,-0.314575,red
2022-06-21 00:00:00-05:00,5663,-0.2715916666666667,red
2022-06-22 00:00:00-05:00,6519,-0.37886250000000005,red
2022-06-23 00:00:00-05:00,5914,-0.2821458333333334,red
2022-06-24 00:00:00-05:00,5646,-0.27443333333333336,red
2022-06-25 00:00:00-05:00,2085,-0.094675,red
2022-06-26 00:00:00-05:00,3358,-0.2013125,red
2022-06-27 00:00:00-05:00,5483,-0.20348750000000002,red
2022-06-28 00:00:00-05:00,5485,-0.28920416666666665,red
2022-06-29 00:00:00-05:00,5938,-0.2808875,red
2022-06-30 00:00:00-05:00,6094,-0.37096666666666667,red
2022-07-01 00:00:00-05:00,6172,-0.34086666666666665,red
2022-07-02 00:00:00-05:00,1935,-0.2030833333333333,red
2022-07-03 00:00:00-05:00,2347,-0.16567500000000002,red
2022-07-04 00:00:00-05:00,2807,-0.19795833333333335,red
2022-07-05 00:00:00-05:00,5179,-0.17306666666666667,red
2022-07-06 00:00:00-05:00,6694,-0.26261249999999997,red
2022-07-07 00:00:00-05:00,5388,-0.23204583333333337,red
2022-07-08 00:00:00-05:00,4063,-0.307475,red
2022-07-09 00:00:00-05:00,2161,-0.291125,red
2022-07-10 00:00:00-05:00,3743,-0.10031666666666667,red
2022-07-11 00:00:00-05:00,5410,-0.20172916666666665,red
2022-07-12 00:00:00-05:00,6909,-0.21265416666666667,red
2022-07-13 00:00:00-05:00,5727,-0.2942,red
2022-07-14 00:00:00-05:00,10118,-0.37432916666666666,red
2022-07-15 00:00:00-05:00,6848,-0.3755375,red
2022-07-16 00:00:00-05:00,3173,-0.18597916666666667,red
2022-07-17 00:00:00-05:00,3601,-0.2653125,red
2022-07-18 00:00:00-05:00,11300,-0.38195,red
2022-07-19 00:00:00-05:00,7429,-0.41991666666666666,red
2022-07-20 00:00:00-05:00,7173,-0.38077500000000003,red
2022-07-21 00:00:00-05:00,5791,-0.3450333333333333,red
2022-07-22 00:00:00-05:00,5513,-0.4308416666666666,red
2022-07-23 00:00:00-05:00,3326,-0.34552083333333333,red
2022-07-24 00:00:00-05:00,5320,-0.09014166666666666,red
2022-07-25 00:00:00-05:00,9095,-0.30561666666666665,red
2022-07-26 00:00:00-05:00,6828,-0.37650416666666664,red
2022-07-27 00:00:00-05:00,7156,-0.4169958333333333,red
2022-07-28 00:00:00-05:00,18234,-0.4824583333333334,red
2022-07-29 00:00:00-05:00,9271,-0.143425,red
2022-07-30 00:00:00-05:00,3579,-0.0324875,red
2022-07-31 00:00:00-05:00,3759,-0.14035416666666667,red
2022-08-01 00:00:00-05:00,7154,-0.25020416666666667,red
2022-08-02 00:00:00-05:00,7590,-0.35807916666666667,red
2022-08-03 00:00:00-05:00,7511,-0.3899333333333333,red
2022-08-04 00:00:00-05:00,6321,-0.35978333333333334,red
2022-08-05 00:00:00-05:00,5142,-0.33194583333333333,red
2022-08-06 00:00:00-05:00,2613,-0.26526666666666665,red
2022-08-07 00:00:00-05:00,3585,-0.22902083333333334,red
2022-08-08 00:00:00-05:00,7551,-0.40562499999999996,red
2022-08-09 00:00:00-05:00,5852,-0.3110375,red
2022-08-10 00:00:00-05:00,7378,-0.3443541666666667,red
2022-08-11 00:00:00-05:00,6661,-0.29259583333333333,red
2022-08-12 00:00:00-05:00,6535,-0.33375,red
2022-08-13 00:00:00-05:00,4318,-0.28765833333333335,red
2022-08-14 00:00:00-05:00,4730,-0.24966666666666668,red
2022-08-15 00:00:00-05:00,7961,-0.25023333333333336,red
2022-08-16 00:00:00-05:00,6847,-0.37918333333333337,red
2022-08-17 00:00:00-05:00,9839,-0.4043791666666667,red
2022-08-18 00:00:00-05:00,7731,-0.3307083333333333,red
2022-08-19 00:00:00-05:00,6483,-0.34642083333333334,red
2022-08-20 00:00:00-05:00,3794,-0.2937166666666667,red
2022-08-21 00:00:00-05:00,5700,-0.26200416666666665,red
2022-08-22 00:00:00-05:00,8564,-0.25810833333333333,red
2022-08-23 00:00:00-05:00,6595,-0.2847875,red
2022-08-24 00:00:00-05:00,6519,-0.30252083333333335,red
2022-08-25 00:00:00-05:00,6447,-0.1784,red
2022-08-26 00:00:00-05:00,7558,-0.2552291666666667,red
2022-08-27 00:00:00-05:00,4092,-0.31470000000000004,red
2022-08-28 00:00:00-05:00,4219,-0.19704999999999998,red
2022-08-29 00:00:00-05:00,4441,-0.42586250000000003,red
2022-08-30 00:00:00-05:00,4838,-0.304075,red
2022-08-31 00:00:00-05:00,3447,-0.13297916666666668,red
2022-09-01 00:00:00-05:00,4855,-0.22472499999999998,red
2022-09-02 00:00:00-05:00,3918,-0.1942,red
2022-09-03 00:00:00-05:00,1592,-0.16027916666666667,red
2022-09-04 00:00:00-05:00,1936,-0.10349166666666666,red
2022-09-05 00:00:00-05:00,2367,-0.27294999999999997,red
2022-09-06 00:00:00-05:00,4098,-0.40824583333333336,red
2022-09-07 00:00:00-05:00,4324,-0.2565041666666667,red
2022-09-08 00:00:00-05:00,4006,-0.10788333333333333,red
2022-09-09 00:00:00-05:00,3450,-0.029069565217391298,red
2022-09-10 00:00:00-05:00,1178,-0.12496666666666667,red
2022-09-11 00:00:00-05:00,2685,0.1502625,green
2022-09-12 00:00:00-05:00,3767,-0.06498571428571429,red
2022-09-13 00:00:00-05:00,1712,-0.35145,red
2022-09-14 00:00:00-05:00,8905,-0.3606125,red
2022-09-15 00:00:00-05:00,13622,-0.3806,red
2022-09-16 00:00:00-05:00,8039,-0.38506250000000003,red
2022-09-17 00:00:00-05:00,3102,-0.34352083333333333,red
2022-09-18 00:00:00-05:00,3732,-0.24659166666666665,red
2022-09-19 00:00:00-05:00,8320,-0.33978749999999996,red
2022-09-20 00:00:00-05:00,9356,-0.32869583333333335,red
2022-09-21 00:00:00-05:00,6760,-0.031104166666666665,red
2022-09-22 00:00:00-05:00,7126,-0.163975,red
2022-09-23 00:00:00-05:00,7309,-0.250025,red
2022-09-24 00:00:00-05:00,3311,-0.07179999999999999,red
2022-09-25 00:00:00-05:00,4206,-0.11669583333333333,red
2022-09-26 00:00:00-05:00,8927,-0.25381666666666663,red
2022-09-27 00:00:00-05:00,9964,-0.25908749999999997,red
2022-09-28 00:00:00-05:00,17101,-0.3428833333333334,red
2022-09-29 00:00:00-05:00,11348,-0.33880416666666663,red
2022-09-30 00:00:00-05:00,6792,-0.2796416666666666,red
2022-10-01 00:00:00-05:00,4088,-0.0813125,red
2022-10-02 00:00:00-05:00,5233,-0.212025,red
2022-10-03 00:00:00-05:00,7277,-0.032529166666666665,red
2022-10-04 00:00:00-05:00,6534,-0.15603333333333333,red
2022-10-05 00:00:00-05:00,8616,0.05395833333333333,green
2022-10-06 00:00:00-05:00,8362,0.12803333333333333,green
2022-10-07 00:00:00-05:00,7276,0.014529166666666657,green
2022-10-08 00:00:00-05:00,3968,-0.3955583333333333,red
2022-10-09 00:00:00-05:00,5004,-0.2840958333333333,red
2022-10-10 00:00:00-05:00,6161,-0.1867791666666667,red
2022-10-11 00:00:00-05:00,5258,-0.08332916666666666,red
2022-10-12 00:00:00-05:00,5442,-0.05732500000000001,red
2022-10-13 00:00:00-05:00,6543,-0.10086250000000001,red
2022-10-14 00:00:00-05:00,6461,-0.20687083333333334,red
2022-10-15 00:00:00-05:00,2311,-0.2571375,red
2022-10-16 00:00:00-05:00,3505,-0.13990416666666666,red
2022-10-17 00:00:00-05:00,5651,-0.18826666666666667,red
2022-10-18 00:00:00-05:00,6181,-0.17554999999999998,red
2022-10-19 00:00:00-05:00,6327,-0.13814583333333333,red
2022-10-20 00:00:00-05:00,6633,0.09127083333333334,green
2022-10-21 00:00:00-05:00,6143,-0.06485,red
2022-10-22 00:00:00-05:00,3273,-0.09235416666666667,red
2022-10-23 00:00:00-05:00,5237,0.1384,green
2022-10-24 00:00:00-05:00,6218,0.0012875000000000033,green
2022-10-25 00:00:00-05:00,5847,-0.31445416666666665,red
2022-10-26 00:00:00-05:00,6716,-0.2602875,red
2022-10-27 00:00:00-05:00,15757,-0.40845833333333337,red
2022-10-28 00:00:00-05:00,14475,-0.4964583333333334,red
2022-10-29 00:00:00-05:00,7779,-0.6892999999999999,red
2022-10-30 00:00:00-05:00,6077,-0.19934583333333333,red
2022-10-31 00:00:00-05:00,8661,-0.11843749999999999,red
2022-11-01 00:00:00-05:00,7157,-0.04634166666666667,red
2022-11-02 00:00:00-05:00,8145,-0.040225000000000004,red
2022-11-03 00:00:00-05:00,10977,0.09779166666666667,green
2022-11-04 00:00:00-05:00,8703,-0.12199166666666666,red
2022-11-05 00:00:00-05:00,5274,-0.16261666666666666,red
2022-11-06 00:00:00-05:00,7135,-0.131792,red
2022-11-07 00:00:00-06:00,8154,-0.16690000000000002,red
2022-11-08 00:00:00-06:00,6646,0.0597875,green
2022-11-09 00:00:00-06:00,5444,-0.04303333333333333,red
2022-11-10 00:00:00-06:00,6298,0.05659583333333334,green
2022-11-11 00:00:00-06:00,6375,0.14121666666666668,green
